species,order,family,log_mass,HWI,ellipticity,asymmetry,resid
Halobaena caerulea,PROCELLARIIFORMES,Procellariidae,2.305351369446624,62.0,0.4037,0.1664,-0.03195360353313792
Macronectes giganteus,PROCELLARIIFORMES,Procellariidae,3.5553000546696416,44.8,0.6018,0.1922,0.15930101694329862
Pachyptila turtur,PROCELLARIIFORMES,Procellariidae,2.1367205671564067,55.1,0.2908,0.1683,-0.13164471387844162
Pagodroma nivea,PROCELLARIIFORMES,Procellariidae,2.428134794028789,62.8,0.3614,0.0821,-0.07824314441377961
Procellaria aequinoctialis,PROCELLARIIFORMES,Procellariidae,3.083860800866573,60.3,0.433,0.1864,-0.01892573634027639
Procellaria cinerea,PROCELLARIIFORMES,Procellariidae,3.053462604925455,60.5,0.5514,0.2448,0.0999315993376429
Pterodroma leucoptera,PROCELLARIIFORMES,Procellariidae,2.16761267272753,66.5,0.3154,0.1382,-0.12296970534831275
Puffinus lherminieri,PROCELLARIIFORMES,Procellariidae,2.285107029566812,55.6,0.3881,0.139,-0.038544171632947044
Puffinus puffinus,PROCELLARIIFORMES,Procellariidae,2.656385719058688,61.6,0.4854,0.1952,0.04192081957922694
Cacatua sanguinea,PSITTACIFORMES,Cacatuidae,2.719082573901486,37.4,0.4182,0.2154,0.005472129283030813
Forpus conspicillatus,PSITTACIFORMES,Psittacidae,1.421603926869831,38.4,0.1903,0.0238,-0.19286579003799512
Micropsitta keiensis,PSITTACIFORMES,Psittacidae,1.08278537031645,36.5,0.2736,0.0677,-0.09896655453325442
Platycercus icterotis,PSITTACIFORMES,Psittacidae,1.801403710017355,42.9,0.3882,0.0931,-0.010005088899495584
Prosopeia tabuensis,PSITTACIFORMES,Psittacidae,2.3654879848909,28.3,0.2218,0.0976,-0.17038348630442401
Pterocles alchata,PTEROCLIDIFORMES,Pteroclidae,2.440594261839831,61.5,0.4855,0.0285,0.04729230726140443
Pterocles namaqua,PTEROCLIDIFORMES,Pteroclidae,2.247973266361807,61.9,0.4601,0.0355,0.025945876745326835
Pterocles orientalis,PTEROCLIDIFORMES,Pteroclidae,2.6073477767684134,63.7,0.4703,0.0413,0.025190420392219526
Rhea americana,RHEIFORMES,Rheidae,4.361727836017593,0.1,0.4482,0.1021,0.04605752025775173
Rhea pennata,RHEIFORMES,Rheidae,4.378397900948138,0.1,0.4994,0.0864,0.09686058649745033
Aptenodytes patagonicus,SPHENISCIFORMES,Spheniscidae,4.0693387368838,3.7,0.4358,0.257,0.035822989845602615
Eudyptes chrysocome,SPHENISCIFORMES,Spheniscidae,3.366964320315918,6.5,0.3812,0.2104,-0.005783386412928304
Eudyptes chrysolophus,SPHENISCIFORMES,Spheniscidae,3.651772130538201,5.8,0.3439,0.1686,-0.04893231044336083
Eudyptes pachyrhynchus,SPHENISCIFORMES,Spheniscidae,3.5916099165733,3.3,0.3432,0.1353,-0.04486876579974475
Eudyptula minor,SPHENISCIFORMES,Spheniscidae,3.044461360810665,5.6,0.3615,0.2049,-0.01660504913407901
Pygoscelis adeliae,SPHENISCIFORMES,Spheniscidae,3.685535735668144,7.4,0.2754,0.0751,-0.12036810902315132
Pygoscelis antarcticus,SPHENISCIFORMES,Spheniscidae,3.6176397726552003,4.8,0.4169,0.1043,0.026212825714658772
Pygoscelis papua,SPHENISCIFORMES,Spheniscidae,3.773274348337454,5.0,0.2549,0.1194,-0.13975949667338783
Spheniscus magellanicus,SPHENISCIFORMES,Spheniscidae,3.61332374097293,3.8,0.3496,0.2098,-0.03965199975773759
Aegolius acadicus,STRIGIFORMES,Strigidae,2.003029470553618,29.8,0.192,0.0631,-0.1935515319182291
Asio flammeus,STRIGIFORMES,Strigidae,2.508664363052943,47.5,0.2772,0.0661,-0.14397485488123335
Asio otus,STRIGIFORMES,Strigidae,2.472171146692363,41.2,0.2482,0.0437,-0.16371175868686347
Athene cunicularia,STRIGIFORMES,Strigidae,2.177824971864682,28.3,0.2322,0.0742,-0.1555150102822638
Bubo africanus,STRIGIFORMES,Strigidae,2.8095597146352675,30.8,0.1712,0.0061,-0.23488836593076265
Bubo bubo,STRIGIFORMES,Strigidae,3.426267207139606,33.0,0.2717,0.0937,-0.15200418373098296
Bubo scandiacus,STRIGIFORMES,Strigidae,3.3072392362016387,41.1,0.2662,0.0524,-0.16546246696909167
Bubo virginianus,STRIGIFORMES,Strigidae,3.131779009369187,30.4,0.2025,0.0473,-0.21072782263028045
Glaucidium brasilianum,STRIGIFORMES,Strigidae,1.801403710017355,17.7,0.2779,0.07,-0.0867284889268986
Glaucidium gnoma,STRIGIFORMES,Strigidae,1.787460474518415,19.8,0.2506,0.0825,-0.11649453416516015
Megascops asio,STRIGIFORMES,Strigidae,2.255272505103306,28.8,0.1979,0.0442,-0.19232532909068642
Megascops kennicottii,STRIGIFORMES,Strigidae,2.151676230847048,27.1,0.1977,0.0456,-0.18779349243542365
Micrathene whitneyi,STRIGIFORMES,Strigidae,1.6127838567197355,30.0,0.1801,0.0442,-0.19642580797583356
Ninox scutulata,STRIGIFORMES,Strigidae,2.2810333672477277,29.2,0.0967,0.0226,-0.29467168727884285
Otus bakkamoena,STRIGIFORMES,Strigidae,2.1414497734004674,27.4,0.1943,0.0388,-0.19134970994057401
Otus brucei,STRIGIFORMES,Strigidae,1.9263424466256551,33.4,0.1502,0.0241,-0.2383221812461115
Otus scops,STRIGIFORMES,Strigidae,1.9637878273455553,34.7,0.2517,0.0653,-0.13944592578441245
Strix aluco,STRIGIFORMES,Strigidae,2.674401812845282,29.3,0.1769,0.0476,-0.22397149092942475
Strix varia,STRIGIFORMES,Strigidae,2.8521749044203033,29.6,0.1942,0.0435,-0.21130419777274104
Surnia ulula,STRIGIFORMES,Strigidae,2.505014240084107,38.6,0.2664,0.0436,-0.14282953880916543
Phodilus badius,STRIGIFORMES,Tytonidae,2.4474681309497557,20.2,0.2105,0.0504,-0.17284305098703281
Tyto alba,STRIGIFORMES,Tytonidae,2.605628222007619,39.7,0.3118,0.1398,-0.10129092073636514
Struthio camelus,STRUTHIONIFORMES,Struthionidae,5.045322978786658,0.1,0.2431,0.014,-0.17531968032146958
Anhinga anhinga,SULIFORMES,Anhingidae,3.0916669575956846,19.6,0.5571,0.1696,0.15921726369522898
Anhinga melanogaster,SULIFORMES,Anhingidae,3.170291058625393,39.2,0.6039,0.1832,0.178029998498776
Fregata magnificens,SULIFORMES,Fregatidae,3.1733319803686495,64.0,0.4798,0.1507,0.020813952524036394
Fregata minor,SULIFORMES,Fregatidae,3.105407985809177,64.2,0.5013,0.1777,0.04366482139549499
Phalacrocorax carbo,SULIFORMES,Phalacrocoracidae,3.4029488293444046,37.1,0.6387,0.1687,0.2100881946219204
Morus bassanus,SULIFORMES,Sulidae,3.476933019656961,62.1,0.6319,0.1636,0.1682164254227998
Morus serrator,SULIFORMES,Sulidae,3.3710678622717363,61.6,0.6135,0.1836,0.1530034011283815
Sula dactylatra,SULIFORMES,Sulidae,3.238572961696629,62.4,0.4081,0.1086,-0.05030766399644815
Sula leucogaster,SULIFORMES,Sulidae,3.110185527411162,59.3,0.47,0.0679,0.01877984586527276
Sula nebouxii,SULIFORMES,Sulidae,3.1818721590103336,57.5,0.4796,0.1048,0.029071231818589893
Sula sula,SULIFORMES,Sulidae,3.0133007868568877,62.0,0.4951,0.1179,0.042589292098841935
Crypturellus tataupa,TINAMIFORMES,Tinamidae,2.3400473176613934,21.1,0.3978,0.0451,0.0158156000415397
Eudromia elegans,TINAMIFORMES,Tinamidae,2.846893543316625,34.3,0.3772,0.0418,-0.03444074475823905
Nothoprocta perdicaria,TINAMIFORMES,Tinamidae,2.660865478003869,26.9,0.382,0.0535,-0.01535140352498987
Rhynchotus rufescens,TINAMIFORMES,Tinamidae,2.926085086925144,20.0,0.3543,0.0484,-0.04017300003504504
Euptilotis neoxenus,TROGONIFORMES,Trogonidae,2.0874264570362855,42.6,0.2363,0.1472,-0.16831590390161205
Harpactes erythrocephalus,TROGONIFORMES,Trogonidae,1.904715545278681,37.5,0.1534,0.049,-0.24007007892751595
Trogon elegans,TROGONIFORMES,Trogonidae,1.8506462351830666,36.9,0.2825,0.2357,-0.10888318250305351
