Mon.Groups,Family,Species,Common.Name,SP.,BM,Humerus.Length,HC,Femur.Length,FC,HCFC,log.BM,log.HCFC
Reptilia,Chamaeleonidae,Chamaeleo melleri,Giant One-horned Chameleon,ROM R7977,258,42.7,8.65,43.65,9.5,18.15,2.411619706,1.258876629
Reptilia,Chamaeleonidae,Furcifer pardalis,Panther Chameleon,ROM R7479,99,30.47,7.3,31.03,7.5,14.8,1.995635195,1.170261715
Reptilia,Corytophanidae,Basiliscus plumifrons,Plumed basilisk,ROM R7455,199,31.2,7.55,49.15,9.5,17.05,2.298853076,1.231724383
Reptilia,Corytophanidae,Basiliscus vittatus,Brown basilisk,ROM R4660,112,22.2,5.95,40.85,7.5,13.45,2.049218023,1.128722284
Reptilia,Gekkonidae,Gekko gekko,Gecko,ROM R7489,96,20.65,5.45,24.9,5.75,11.2,1.982271233,1.049218023
Reptilia,Gerrhosauridae,Gerrhosaurus major,Sudan plated lizard,ROM R3558,227,22.6,6.5,25.2,7.8,14.3,2.356025857,1.155336037
Reptilia,Helodermatidae,Heloderma suspectum,Gila monster,ROM R8142,406,35.85,10.25,37.15,10.85,21.1,2.608526034,1.324282455
Reptilia,Iguanidae,Iguana iguana,green iguana,ROM R5821,2700,68.8,20.25,82.7,22.75,43,3.431363764,1.633468456
Reptilia,Scincidae,Corucia zebrata,Solomon Islands skink,ROM R7868,374,36.05,10.15,36.5,10.95,21.1,2.572871602,1.324282455
Reptilia,Scincidae,Tiliqua scincoides,Blue-tongued skink,ROM R7535,243,27.16,7.75,25.97,8.1,15.85,2.385606274,1.200029267
Reptilia,Teiidae,Tupinambis teguixin,Common Tegu,ROM R8380,1207,48.52,15,57.07,17.85,32.85,3.08170727,1.516535374
Reptilia,Varanidae,Varanus albigularis,Rock monitor,ROM R8243,1358,52.9,16.8,60.8,18.6,35.4,3.13289977,1.549003262
Reptilia,Varanidae,Varanus beccarii,Black tree monitor,ROM R7483,133,34.3,7.25,36.6,8.6,15.85,2.123851641,1.200029267
Reptilia,Varanidae,Varanus exanthematicus,Savannah monitor,ROM R8034,5063,64.9,25,68.35,27.4,52.4,3.704407927,1.719331287
Reptilia,Varanidae,Varanus jobiensis,Peach-throated monitor,ROM R7950,1100,54.2,16.75,65.9,21,37.75,3.041392685,1.576916956
Reptilia,Varanidae,Varanus komodoensis,Komodo dragon,ZMUC R 4235,72000,141.6,62,173.4,67,129,4.857332496,2.11058971
Reptilia,Varanidae,Varanus niloticus,Nile monitor,ROM R7287,8645,78.45,29.75,92.35,34,63.75,3.936764998,1.804480189
Reptilia,Varanidae,Varanus salvadorii,Salvadori's monitor,ROM R7926,4839,73.35,25.1,80.5,25.75,50.85,3.684755622,1.706290957
Reptilia,Chelydridae,Chelydra serpentina,Snapping turtle,ROM R4101,5372,64.595,29.5,68.2,27.25,56.75,3.730136004,1.753965866
Reptilia,Emydidae,Chrysemys picta,Painted turtle,ROM R7204,537,30.86,10,34.525,10,20,2.729974286,1.301029996
Reptilia,Emydidae,Clemmys guttata,Spotted turtle,ROM R1898,79,21.715,6.65,22.4,7,13.65,1.897627091,1.135132651
Reptilia,Emydidae,Cuora galbinifrons,Indochinese box turtle,ROM R5346,555,40.34,12.95,36.69,11.95,24.9,2.744292983,1.396199347
Reptilia,Emydidae,Emydoidea blandingii,Blanding's turtle,ROM R3539,1588,52.55,15,56.155,16,31,3.200850498,1.491361694
Reptilia,Emydidae,Glyptemys insculpta,Wood Turtle,ROM R7991,766,44.37,12.45,46.87,13.15,25.6,2.88422877,1.408239965
Reptilia,Emydidae,Pseudemys texana,Texas river cooter,ROM R6766,185,31.17,9.05,35.65,10,19.05,2.267171728,1.27989498
Reptilia,Emydidae,Terrapene carolina,Box turtle,ROM R5214,460,33.76,11.85,37.2,11.45,23.3,2.662757832,1.367355921
Reptilia,Emydidae,Trachemys scripta,Red-Eared Slider,ROM R2083,1790,43.2,13.75,46.65,14.2,27.95,3.252853031,1.446381812
Reptilia,Kinosternidae,Kinosternon baurii,Striped mud turtle,ROM R1877,121,17.08,7.25,17.5,6.4,13.65,2.08278537,1.135132651
Reptilia,Kinosternidae,Kinosternon subrubrum,Common mud turtle,ROM R2932,138,18.84,7,19.9,6.8,13.8,2.139879086,1.139879086
Reptilia,Kinosternidae,Sternotherus minor,Loggerhead musk turtle,ROM R7993,173,20.64,7.2,21.21,7,14.2,2.238046103,1.152288344
Reptilia,Kinosternidae,Sternotherus odoratus,Common Musk Turtle,ROM R7342,193,23.88,8,24.12,7,15,2.285557309,1.176091259
Reptilia,Platysternidae,Platysternon megacephalum,Big-headed turtle,ROM R5331,629,34.95,12.75,36.7,12,24.75,2.798650645,1.393575203
Reptilia,Testudinidae,Geochelone carbonaria,Red-footed tortoise,ROM R8015,1181,52,19,43.72,15.65,34.65,3.072249898,1.539703239
Reptilia,Testudinidae,Gopherus polyphemus,Gopher tortoise,ROM R1915,2825,63.6,24,48.01,19.9,43.9,3.451018452,1.64246452
Reptilia,Testudinidae,Kinixys homeana,Home's Hingeback tortoise,ROM R7992,1485,51.99,17.9,44.39,15.95,33.85,3.171726454,1.529558673
Reptilia,Trionychidae,Amyda cartilaginae,Asiatic Softshell Turtle,ROM R8016,962,39.38,16.35,39.68,14,30.35,2.983175072,1.482158695
Reptilia,Trionychidae,Apalone ferox,Florida softshell turtle,ROM R7757,3836,58.56,22.25,61.12,23.6,45.85,3.583878598,1.66133934
Reptilia,Trionychidae,Apalone spiniferus,Eastern spiny softshell turtle,ROM R2674,278,28.27,10.3,30.11,11,21.3,2.444044796,1.328379603
Reptilia,Trionychidae,Pelodiscus sinensis,Chinese softshell turtle,ROM R6026,1380.25,42.21,15.3,43.55,13.05,28.35,3.139957756,1.452553063
